osu_id	pctsim	kingdom	phylum	class	order	family	genus
1001746	88.34	Bacteria_[2]	Firmicutes_[2]	Clostridia_[2]	Clostridiales_[2]	Lachnospiraceae_[1],Defluviitaleaceae_[1]	Abyssivirga_[1],Vallitalea_[1]
1002102	85.19	Bacteria_[2]	Firmicutes_[2]	Clostridia_[2]	Clostridiales_[2]	Lachnospiraceae_[1],Defluviitaleaceae_[1]	Abyssivirga_[1],Vallitalea_[1]
1002711	85.19	Bacteria_[2]	Firmicutes_[2]	Clostridia_[2]	Clostridiales_[2]	Lachnospiraceae_[1],Defluviitaleaceae_[1]	Abyssivirga_[1],Vallitalea_[1]
1003118	85.19	Bacteria_[2]	Firmicutes_[2]	Clostridia_[2]	Clostridiales_[2]	Lachnospiraceae_[1],Defluviitaleaceae_[1]	Abyssivirga_[1],Vallitalea_[1]
1000575	87.84	Bacteria_[2]	Firmicutes_[2]	Clostridia_[2]	Clostridiales_[2]	Lachnospiraceae_[1],Defluviitaleaceae_[1]	Abyssivirga_[1],Vallitalea_[1]
1001737	87.68	Bacteria_[2]	Firmicutes_[2]	Clostridia_[2]	Clostridiales_[2]	Lachnospiraceae_[1],Defluviitaleaceae_[1]	Abyssivirga_[1],Vallitalea_[1]
1001726	84.94	Bacteria_[2]	Firmicutes_[2]	Clostridia_[2]	Clostridiales_[2]	Lachnospiraceae_[1],Defluviitaleaceae_[1]	Abyssivirga_[1],Vallitalea_[1]
1000193	91.83	Bacteria_[1]	Firmicutes_[1]	Clostridia_[1]	Clostridiales_[1]	Ruminococcaceae_[1]	Acetanaerobacterium_[1]
1000086	91.83	Bacteria_[1]	Firmicutes_[1]	Clostridia_[1]	Clostridiales_[1]	Ruminococcaceae_[1]	Acetanaerobacterium_[1]
1000625	91.58	Bacteria_[1]	Firmicutes_[1]	Clostridia_[1]	Clostridiales_[1]	Ruminococcaceae_[1]	Acetanaerobacterium_[1]
1000277	91.58	Bacteria_[1]	Firmicutes_[1]	Clostridia_[1]	Clostridiales_[1]	Ruminococcaceae_[1]	Acetanaerobacterium_[1]
1000933	92.08	Bacteria_[1]	Firmicutes_[1]	Clostridia_[1]	Clostridiales_[1]	Ruminococcaceae_[1]	Acetanaerobacterium_[1]
1002921	94.53	Bacteria_[3]	Firmicutes_[3]	Clostridia_[3]	Clostridiales_[2]	Ruminococcaceae_[2]	Acetanaerobacterium_[1],Phocea_[1]
1003127	91.34	Bacteria_[1]	Firmicutes_[1]	Clostridia_[1]	Clostridiales_[1]	Ruminococcaceae_[1]	Acetanaerobacterium_[1]
1001832	91.61	Bacteria_[1]	Firmicutes_[1]	Clostridia_[1]	Clostridiales_[1]	Ruminococcaceae_[1]	Acetanaerobacterium_[1]
1000641	92.08	Bacteria_[1]	Firmicutes_[1]	Clostridia_[1]	Clostridiales_[1]	Ruminococcaceae_[1]	Acetanaerobacterium_[1]
1002883	91.58	Bacteria_[1]	Firmicutes_[1]	Clostridia_[1]	Clostridiales_[1]	Ruminococcaceae_[1]	Acetanaerobacterium_[1]
1002903	91.34	Bacteria_[1]	Firmicutes_[1]	Clostridia_[1]	Clostridiales_[1]	Ruminococcaceae_[1]	Acetanaerobacterium_[1]
1001086	97.02	Bacteria_[1]	Firmicutes_[1]	Clostridia_[1]	Clostridiales_[1]	Lachnospiraceae_[1]	Acetitomaculum_[1]
1000269	86.42	Bacteria_[6]	Proteobacteria_[6]	Alphaproteobacteria_[6]	Rhodospirillales_[6]	Acetobacteraceae_[6]	Acetobacter_[6]
1000439	86.17	Bacteria_[6]	Proteobacteria_[6]	Alphaproteobacteria_[6]	Rhodospirillales_[6]	Acetobacteraceae_[6]	Acetobacter_[6]
1001063	86.17	Bacteria_[6]	Proteobacteria_[6]	Alphaproteobacteria_[6]	Rhodospirillales_[6]	Acetobacteraceae_[6]	Acetobacter_[6]
1000997	86.42	Bacteria_[6]	Proteobacteria_[6]	Alphaproteobacteria_[6]	Rhodospirillales_[6]	Acetobacteraceae_[6]	Acetobacter_[6]
1001905	80.47	Bacteria_[1]	Bacteroidetes_[1]	Bacteroidia_[1]	Bacteroidales_[1]	Rikenellaceae_[1]	Acetobacteroides_[1]
1000367	80.24	Bacteria_[1]	Bacteroidetes_[1]	Bacteroidia_[1]	Bacteroidales_[1]	Rikenellaceae_[1]	Acetobacteroides_[1]
1000316	80.52	Bacteria_[1]	Bacteroidetes_[1]	Bacteroidia_[1]	Bacteroidales_[1]	Rikenellaceae_[1]	Acetobacteroides_[1]
1000460	80.28	Bacteria_[1]	Bacteroidetes_[1]	Bacteroidia_[1]	Bacteroidales_[1]	Rikenellaceae_[1]	Acetobacteroides_[1]
1001178	86.57	Bacteria_[1]	Tenericutes_[1]	Mollicutes_[1]	Acholeplasmatales_[1]	Acholeplasmataceae_[1]	Acholeplasma_[1]
1000501	85.75	Bacteria_[1]	Tenericutes_[1]	Mollicutes_[1]	Acholeplasmatales_[1]	Acholeplasmataceae_[1]	Acholeplasma_[1]
1002031	88.81	Bacteria_[2]	Tenericutes_[2]	Mollicutes_[2]	Acholeplasmatales_[2]	Acholeplasmataceae_[2]	Acholeplasma_[2]
1003189	85.51	Bacteria_[1]	Tenericutes_[1]	Mollicutes_[1]	Acholeplasmatales_[1]	Acholeplasmataceae_[1]	Acholeplasma_[1]
3323	100	Bacteria_[16]	Proteobacteria_[16]	Gammaproteobacteria_[15],Betaproteobacteria_[15]	Enterobacterales_[15],Burkholderiales_[15]	Enterobacteriaceae_[15],Alcaligenaceae_[15]	Enterobacter_[14],Achromobacter_[14],Salmonella_[14]
14894	100	Bacteria_[1]	Firmicutes_[1]	Negativicutes_[1]	Acidaminococcales_[1]	Acidaminococcaceae_[1]	Acidaminococcus_[1]
1001314	99.07	Bacteria_[1]	Firmicutes_[1]	Negativicutes_[1]	Acidaminococcales_[1]	Acidaminococcaceae_[1]	Acidaminococcus_[1]
1000681	99.77	Bacteria_[1]	Firmicutes_[1]	Negativicutes_[1]	Acidaminococcales_[1]	Acidaminococcaceae_[1]	Acidaminococcus_[1]
1001678	99.53	Bacteria_[1]	Firmicutes_[1]	Negativicutes_[1]	Acidaminococcales_[1]	Acidaminococcaceae_[1]	Acidaminococcus_[1]
10831	100	Bacteria_[3]	Proteobacteria_[3]	Betaproteobacteria_[3]	Burkholderiales_[3]	Comamonadaceae_[3]	Comamonas_[2],Acidovorax_[2]
1002942	99.77	Bacteria_[4]	Proteobacteria_[4]	Betaproteobacteria_[4]	Burkholderiales_[4]	Comamonadaceae_[4]	Comamonas_[3],Acidovorax_[3]
6222	100	Bacteria_[1]	Actinobacteria_[1]	Actinobacteria_[1]	Actinomycetales_[1]	Actinomycetaceae_[1]	Actinomyces_[1]
4138	100	Bacteria_[1]	Actinobacteria_[1]	Actinobacteria_[1]	Actinomycetales_[1]	Actinomycetaceae_[1]	Actinomyces_[1]
1003188	99.76	Bacteria_[2]	Actinobacteria_[2]	Actinobacteria_[2]	Actinomycetales_[1],Micrococcales_[1]	Actinomycetaceae_[1],Sanguibacteraceae_[1]	Actinomyces_[1],Sanguibacter_[1]
7850	100	Bacteria_[13]	Proteobacteria_[13]	Gammaproteobacteria_[13]	Aeromonadales_[13]	Aeromonadaceae_[13]	Aeromonas_[13]
1003063	99.53	Bacteria_[20]	Proteobacteria_[20]	Gammaproteobacteria_[20]	Aeromonadales_[20]	Aeromonadaceae_[20]	Aeromonas_[20]
1001851	86.24	Bacteria_[1]	Proteobacteria_[1]	Alphaproteobacteria_[1]	Rhodospirillales_[1]	Rhodospirillaceae_[1]	Aestuariispira_[1]
1002493	98.02	Bacteria_[2]	Firmicutes_[2]	Clostridia_[2]	Clostridiales_[2]	Lachnospiraceae_[2]	Agathobacter_[1]
1000564	98.76	Bacteria_[2]	Firmicutes_[2]	Clostridia_[2]	Clostridiales_[2]	Lachnospiraceae_[2]	Agathobacter_[1]
1002068	98.27	Bacteria_[2]	Firmicutes_[2]	Clostridia_[2]	Clostridiales_[2]	Lachnospiraceae_[2]	Agathobacter_[1]
1001362	99.26	Bacteria_[2]	Firmicutes_[2]	Clostridia_[2]	Clostridiales_[2]	Lachnospiraceae_[2]	Agathobacter_[1]
16556	100	NA	NA	NA	NA	NA	Agathobaculum_[1]
1000682	99.75	NA	NA	NA	NA	NA	Agathobaculum_[1]
1002090	99.51	NA	NA	NA	NA	NA	Agathobaculum_[1]
1000674	99.75	NA	NA	NA	NA	NA	Agathobaculum_[1]
1001657	99.01	NA	NA	NA	NA	NA	Agathobaculum_[1]
1001008	99.75	NA	NA	NA	NA	NA	Agathobaculum_[1]
1001790	99.26	NA	NA	NA	NA	NA	Agathobaculum_[1]
1002132	99.29	NA	NA	NA	NA	NA	Agathobaculum_[1]
1001435	99.51	NA	NA	NA	NA	NA	Agathobaculum_[1]
1001658	99.51	NA	NA	NA	NA	NA	Agathobaculum_[1]
1002077	99.51	NA	NA	NA	NA	NA	Agathobaculum_[1]
1001646	99.75	NA	NA	NA	NA	NA	Agathobaculum_[1]
1002259	97.78	NA	NA	NA	NA	NA	Agathobaculum_[1]
1001638	99.51	NA	NA	NA	NA	NA	Agathobaculum_[1]
1000677	99.75	NA	NA	NA	NA	NA	Agathobaculum_[1]
1002415	99.75	NA	NA	NA	NA	NA	Agathobaculum_[1]
1001917	99.51	NA	NA	NA	NA	NA	Agathobaculum_[1]
1002392	99.26	NA	NA	NA	NA	NA	Agathobaculum_[1]
1002111	99.51	NA	NA	NA	NA	NA	Agathobaculum_[1]
1003143	99.51	NA	NA	NA	NA	NA	Agathobaculum_[1]
1002054	99.51	NA	NA	NA	NA	NA	Agathobaculum_[1]
1003147	99.01	NA	NA	NA	NA	NA	Agathobaculum_[1]
1002422	99.05	NA	NA	NA	NA	NA	Agathobaculum_[1]
1003031	99.01	NA	NA	NA	NA	NA	Agathobaculum_[1]
1002653	98.6	Bacteria_[1]	Proteobacteria_[1]	Gammaproteobacteria_[1]	Pasteurellales_[1]	Pasteurellaceae_[1]	Aggregatibacter_[1]
1002410	99.77	Bacteria_[1]	Proteobacteria_[1]	Gammaproteobacteria_[1]	Pasteurellales_[1]	Pasteurellaceae_[1]	Aggregatibacter_[1]
1002627	99.77	Bacteria_[1]	Proteobacteria_[1]	Gammaproteobacteria_[1]	Pasteurellales_[1]	Pasteurellaceae_[1]	Aggregatibacter_[1]
14623	100	Bacteria_[1]	Verrucomicrobia_[1]	Verrucomicrobiae_[1]	Verrucomicrobiales_[1]	Akkermansiaceae_[1]	Akkermansia_[1]
3033	100	Bacteria_[27]	Verrucomicrobia_[27]	Verrucomicrobiae_[27]	Verrucomicrobiales_[27]	Akkermansiaceae_[27]	Akkermansia_[27]
14622	100	Bacteria_[8]	Verrucomicrobia_[8]	Verrucomicrobiae_[8]	Verrucomicrobiales_[8]	Akkermansiaceae_[8]	Akkermansia_[8]
1002004	99.76	Bacteria_[1]	Verrucomicrobia_[1]	Verrucomicrobiae_[1]	Verrucomicrobiales_[1]	Akkermansiaceae_[1]	Akkermansia_[1]
1002244	95.15	Bacteria_[3]	Verrucomicrobia_[3]	Verrucomicrobiae_[3]	Verrucomicrobiales_[3]	Akkermansiaceae_[3]	Akkermansia_[3]
1002537	76.05	Bacteria_[2]	Firmicutes_[2]	Bacilli_[2]	Bacillales_[2]	Alicyclobacillaceae_[2]	Alicyclobacillus_[2]
1000149	80.24	Bacteria_[2]	Bacteroidetes_[2]	Bacteroidia_[2]	Bacteroidales_[2]	Rikenellaceae_[2]	Alistipes_[1],Tidjanibacter_[1]
1000498	98.82	Bacteria_[7]	Bacteroidetes_[7]	Bacteroidia_[7]	Bacteroidales_[7]	Rikenellaceae_[7]	Alistipes_[7]
5830	100	Bacteria_[1]	Bacteroidetes_[1]	Bacteroidia_[1]	Bacteroidales_[1]	Rikenellaceae_[1]	Alistipes_[1]
1002250	99.53	Bacteria_[1]	Bacteroidetes_[1]	Bacteroidia_[1]	Bacteroidales_[1]	Rikenellaceae_[1]	Alistipes_[1]
1002039	80.47	Bacteria_[2]	Bacteroidetes_[2]	Bacteroidia_[2]	Bacteroidales_[2]	Rikenellaceae_[2]	Alistipes_[1],Tidjanibacter_[1]
1001305	97.4	Bacteria_[1]	Bacteroidetes_[1]	Bacteroidia_[1]	Bacteroidales_[1]	Rikenellaceae_[1]	Alistipes_[1]
5271	100	Bacteria_[2]	Bacteroidetes_[2]	Bacteroidia_[2]	Bacteroidales_[2]	Rikenellaceae_[2]	Alistipes_[2]
3822	100	Bacteria_[2]	Bacteroidetes_[2]	Bacteroidia_[2]	Bacteroidales_[2]	Rikenellaceae_[2]	Alistipes_[2]
16671	100	Bacteria_[1]	Bacteroidetes_[1]	Bacteroidia_[1]	Bacteroidales_[1]	Rikenellaceae_[1]	Alistipes_[1]
6431	100	Bacteria_[2]	Bacteroidetes_[2]	Bacteroidia_[2]	Bacteroidales_[2]	Rikenellaceae_[2]	Alistipes_[2]
11043	100	Bacteria_[1]	Bacteroidetes_[1]	Bacteroidia_[1]	Bacteroidales_[1]	Rikenellaceae_[1]	Alistipes_[1]
6437	100	Bacteria_[1]	Bacteroidetes_[1]	Bacteroidia_[1]	Bacteroidales_[1]	Rikenellaceae_[1]	Alistipes_[1]
1000721	80.24	Bacteria_[2]	Bacteroidetes_[2]	Bacteroidia_[2]	Bacteroidales_[2]	Rikenellaceae_[2]	Alistipes_[1],Tidjanibacter_[1]
1001060	80.94	Bacteria_[2]	Bacteroidetes_[2]	Bacteroidia_[2]	Bacteroidales_[2]	Rikenellaceae_[2]	Alistipes_[1],Tidjanibacter_[1]
1001722	86.76	Bacteria_[3]	Bacteroidetes_[3]	Bacteroidia_[3]	Bacteroidales_[3]	Rikenellaceae_[3]	Alistipes_[2],Rikenella_[2]
7034	100	Bacteria_[7]	Bacteroidetes_[7]	Bacteroidia_[7]	Bacteroidales_[7]	Rikenellaceae_[7]	Alistipes_[7]
1001547	99.53	Bacteria_[1]	Bacteroidetes_[1]	Bacteroidia_[1]	Bacteroidales_[1]	Rikenellaceae_[1]	Alistipes_[1]
1000902	94.33	Bacteria_[2]	Bacteroidetes_[2]	Bacteroidia_[2]	Bacteroidales_[2]	Rikenellaceae_[2]	Alistipes_[2]
5829	100	Bacteria_[1]	Bacteroidetes_[1]	Bacteroidia_[1]	Bacteroidales_[1]	Rikenellaceae_[1]	Alistipes_[1]
1002338	99.76	Bacteria_[1]	Bacteroidetes_[1]	Bacteroidia_[1]	Bacteroidales_[1]	Rikenellaceae_[1]	Alistipes_[1]
1002512	99.76	Bacteria_[2]	Bacteroidetes_[2]	Bacteroidia_[2]	Bacteroidales_[2]	Rikenellaceae_[2]	Alistipes_[2]
1001189	99.76	Bacteria_[1]	Bacteroidetes_[1]	Bacteroidia_[1]	Bacteroidales_[1]	Rikenellaceae_[1]	Alistipes_[1]
9655	100	Bacteria_[2]	Bacteroidetes_[2]	Bacteroidia_[2]	Bacteroidales_[2]	Rikenellaceae_[2]	Alistipes_[1],Tidjanibacter_[1]
1002463	99.53	Bacteria_[1]	Bacteroidetes_[1]	Bacteroidia_[1]	Bacteroidales_[1]	Rikenellaceae_[1]	Alistipes_[1]
1002841	99.29	Bacteria_[1]	Bacteroidetes_[1]	Bacteroidia_[1]	Bacteroidales_[1]	Rikenellaceae_[1]	Alistipes_[1]
