osu_id	pctsim	kingdom	phylum	class	order	family	genus
1000906	85.4	Bacteria_[2]	Firmicutes_[2]	Clostridia_[2]	Clostridiales_[2]	Lachnospiraceae_[1],Defluviitaleaceae_[1]	Abyssivirga_[1],Vallitalea_[1]
1000652	87.84	Bacteria_[2]	Firmicutes_[2]	Clostridia_[2]	Clostridiales_[2]	Lachnospiraceae_[1],Defluviitaleaceae_[1]	Abyssivirga_[1],Vallitalea_[1]
1001109	87.44	Bacteria_[2]	Firmicutes_[2]	Clostridia_[2]	Clostridiales_[2]	Lachnospiraceae_[1],Defluviitaleaceae_[1]	Abyssivirga_[1],Vallitalea_[1]
1001397	88.34	Bacteria_[2]	Firmicutes_[2]	Clostridia_[2]	Clostridiales_[2]	Lachnospiraceae_[1],Defluviitaleaceae_[1]	Abyssivirga_[1],Vallitalea_[1]
1001029	85.19	Bacteria_[2]	Firmicutes_[2]	Clostridia_[2]	Clostridiales_[2]	Lachnospiraceae_[1],Defluviitaleaceae_[1]	Abyssivirga_[1],Vallitalea_[1]
1002130	87.87	Bacteria_[2]	Firmicutes_[2]	Clostridia_[2]	Clostridiales_[2]	Lachnospiraceae_[1],Defluviitaleaceae_[1]	Abyssivirga_[1],Vallitalea_[1]
1003278	88.31	Bacteria_[2]	Firmicutes_[2]	Clostridia_[2]	Clostridiales_[2]	Lachnospiraceae_[1],Defluviitaleaceae_[1]	Abyssivirga_[1],Vallitalea_[1]
1003374	87.68	Bacteria_[2]	Firmicutes_[2]	Clostridia_[2]	Clostridiales_[2]	Lachnospiraceae_[1],Defluviitaleaceae_[1]	Abyssivirga_[1],Vallitalea_[1]
1003475	88.54	Bacteria_[2]	Firmicutes_[2]	Clostridia_[2]	Clostridiales_[2]	Lachnospiraceae_[1],Defluviitaleaceae_[1]	Abyssivirga_[1],Vallitalea_[1]
1000065	91.83	Bacteria_[1]	Firmicutes_[1]	Clostridia_[1]	Clostridiales_[1]	Ruminococcaceae_[1]	Acetanaerobacterium_[1]
1000579	92.08	Bacteria_[1]	Firmicutes_[1]	Clostridia_[1]	Clostridiales_[1]	Ruminococcaceae_[1]	Acetanaerobacterium_[1]
1000974	91.83	Bacteria_[1]	Firmicutes_[1]	Clostridia_[1]	Clostridiales_[1]	Ruminococcaceae_[1]	Acetanaerobacterium_[1]
1000312	91.58	Bacteria_[1]	Firmicutes_[1]	Clostridia_[1]	Clostridiales_[1]	Ruminococcaceae_[1]	Acetanaerobacterium_[1]
1002003	91.58	Bacteria_[1]	Firmicutes_[1]	Clostridia_[1]	Clostridiales_[1]	Ruminococcaceae_[1]	Acetanaerobacterium_[1]
1001840	92.08	Bacteria_[1]	Firmicutes_[1]	Clostridia_[1]	Clostridiales_[1]	Ruminococcaceae_[1]	Acetanaerobacterium_[1]
1000532	91.83	Bacteria_[1]	Firmicutes_[1]	Clostridia_[1]	Clostridiales_[1]	Ruminococcaceae_[1]	Acetanaerobacterium_[1]
